"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Midnight Mayhem","WR","U","106549","4.17","28860","4.79","131908","73.5%","57.8%","21834","59.6%","28308","62.5%","50142","61.2%","81738","55.8%","5.5pp"
"Nashi, Searcher in the Dark","UB","R","42006","3.84","8438","4.78","24959","50.8%","50.7%","4301","54.9%","6744","52.4%","11045","53.4%","13897","48.6%","4.8pp"
"Niko, Light of Hope","WU","M","9287","1.84","5505","1.81","28295","85.2%","55.3%","4701","59.2%","7444","60.1%","12145","59.7%","16181","51.9%","7.8pp"
"Oblivious Bookworm","UG","U","97099","3.72","32250","4.09","154202","77.7%","56.5%","26712","62.6%","41014","58.8%","67726","60.3%","86612","53.5%","6.8pp"
"Peer Past the Veil","RG","R","57424","4.85","9948","6.71","29832","49.8%","53.1%","4813","50.1%","6808","55.2%","11621","53.1%","18187","53.2%","-0.1pp"
"Restricted Office // Lecture Hall","WU","R","37735","3.42","8702","4.09","36731","70.6%","54.1%","6060","52.3%","9097","57.1%","15157","55.2%","21478","53.3%","1.8pp"
"Rip, Spawn Hunter","WG","R","36195","3.42","7198","4.12","26021","61.3%","52.0%","4392","52.6%","6043","54.6%","10435","53.8%","15587","50.6%","3.1pp"
"Rite of the Moth","WB","U","126824","5.04","19925","6.67","64774","55.2%","52.0%","10484","51.1%","16415","56.8%","26899","54.5%","37530","50.0%","4.6pp"
"Roaring Furnace // Steaming Sauna","UR","R","30798","3.03","12255","3.08","58723","79.5%","54.4%","10275","60.9%","15261","60.2%","25536","60.5%","32583","49.6%","10.8pp"
"Sawblade Skinripper","BR","U","125788","4.92","24420","6.22","93687","63.4%","54.5%","16076","53.8%","23312","57.3%","39388","55.9%","54303","53.6%","2.3pp"
"Shrewd Storyteller","WG","U","133988","5.40","16488","7.71","45911","47.1%","51.5%","7772","52.0%","9942","50.1%","17714","50.9%","27966","51.6%","-0.7pp"
"Shroudstomper","WB","U","126118","4.98","20668","6.57","66856","54.5%","52.3%","10170","51.8%","17058","57.1%","27228","55.1%","39523","50.3%","4.8pp"
"Skullsnap Nuisance","UB","U","148944","5.99","20204","8.44","48888","41.3%","50.7%","8440","52.0%","13247","52.5%","21687","52.3%","27149","49.4%","2.9pp"
"Smoky Lounge // Misty Salon","UR","U","136937","5.53","27097","6.96","78176","49.4%","50.2%","13317","50.1%","21602","55.3%","34919","53.3%","42494","47.6%","5.7pp"
"The Swarmweaver","BG","R","19225","1.89","11795","1.87","65435","88.8%","57.2%","11372","63.4%","16927","65.3%","28299","64.5%","36870","51.5%","13.1pp"
"Undead Sprinter","BR","R","36445","3.47","10284","3.86","41565","66.8%","54.8%","7373","58.9%","10007","56.2%","17380","57.3%","24249","53.1%","4.2pp"
"Victor, Valgavoth's Seneschal","WB","R","36902","3.46","7592","4.17","25104","57.2%","49.7%","4219","49.4%","6507","51.8%","10726","50.9%","14359","48.7%","2.2pp"
"Wildfire Wickerfolk","RG","U","111630","4.35","27439","5.13","123527","73.1%","56.4%","21650","59.2%","27389","58.6%","49039","58.9%","74512","54.7%","4.2pp"
"Winter, Misanthropic Guide","BRG","R","60584","5.28","7754","7.90","8900","19.3%","48.4%","1468","47.4%","2223","49.6%","3691","48.7%","5203","48.2%","0.5pp"
"Zimone, All-Questioning","UG","R","23349","2.32","12167","2.29","63569","84.8%","56.1%","11033","65.5%","16361","59.2%","27394","61.7%","36180","51.9%","9.8pp"
"Attack-in-the-Box","","U","174854","7.14","20240","10.56","24035","19.8%","51.8%","4086","49.0%","5380","51.4%","9466","50.3%","14559","52.7%","-2.3pp"
"Bear Trap","","C","435009","8.12","49965","11.70","33415","11.1%","51.6%","5658","50.8%","8079","52.0%","13737","51.5%","19662","51.6%","-0.1pp"
"Conductive Machete","","U","122492","4.15","28354","5.54","140563","82.2%","54.7%","23144","53.4%","34359","56.4%","57503","55.2%","82988","54.3%","0.9pp"
"Dissection Tools","","R","14470","1.41","12123","1.40","74463","98.8%","56.8%","12559","60.6%","18500","63.6%","31059","62.4%","43327","52.8%","9.6pp"
"Found Footage","","C","437291","8.33","56319","11.70","45432","13.4%","53.8%","8246","52.3%","10791","55.7%","19037","54.2%","26355","53.5%","0.7pp"
"Friendly Teddy","","C","433079","7.80","56628","11.07","77007","22.6%","52.3%","13740","51.1%","17495","51.7%","31235","51.4%","45709","52.9%","-1.4pp"
"Ghost Vacuum","","R","24919","2.30","9760","2.45","50970","87.2%","54.1%","8751","56.1%","12628","56.0%","21379","56.1%","29620","52.7%","3.3pp"
"Glimmerlight","","C","364419","5.39","78901","7.19","378225","77.9%","56.2%","68251","56.2%","89126","57.0%","157377","56.6%","220720","55.9%","0.7pp"
"Haunted Screen","","U","156190","5.87","18697","8.80","40022","36.2%","50.9%","7153","50.4%","10151","53.4%","17304","52.2%","22750","49.9%","2.3pp"
"Keys to the House","","U","166416","6.25","22555","9.13","51813","38.6%","51.6%","9614","50.2%","12664","51.9%","22278","51.2%","29524","52.0%","-0.8pp"
"Malevolent Chandelier","","C","436917","8.32","58833","11.59","63025","17.8%","52.1%","9505","47.1%","16699","53.2%","26204","51.0%","36941","52.9%","-1.8pp"
"Marvin, Murderous Mimic","","R","57132","4.73","6764","7.35","12009","29.8%","51.1%","2126","48.5%","2605","51.5%","4731","50.2%","7266","51.7%","-1.5pp"
"Saw","","U","173544","7.11","21847","10.32","25792","19.6%","53.0%","4166","50.9%","5964","53.4%","10130","52.4%","15662","53.4%","-1.0pp"
"Abandoned Campground","","C","204701","6.20","34018","8.70","132755","64.7%","54.7%","24769","55.9%","32453","53.6%","57222","54.6%","75482","54.8%","-0.1pp"
"Blazemire Verge","","R","53582","4.25","8550","6.17","25611","49.9%","53.3%","4629","53.7%","6120","55.1%","10749","54.5%","14824","52.5%","2.0pp"
"Bleeding Woods","","C","209956","6.56","36156","9.11","128862","59.0%","54.0%","23742","54.4%","28677","52.6%","52419","53.4%","76386","54.5%","-1.1pp"
"Etched Cornfield","","C","213170","6.80","31299","9.67","83662","44.6%","52.1%","15353","54.1%","19302","51.2%","34655","52.5%","48955","51.9%","0.6pp"
"Floodfarm Verge","","R","50488","3.99","8580","5.71","32297","62.5%","54.7%","5883","55.7%","7922","55.0%","13805","55.3%","18472","54.2%","1.1pp"
"Gloomlake Verge","","R","52824","4.21","8484","6.09","24441","48.5%","51.8%","4509","53.3%","6411","54.1%","10920","53.8%","13478","50.3%","3.5pp"
"Hushwood Verge","","R","54612","4.29","7956","6.36","21457","45.0%","52.4%","3862","53.4%","4894","53.1%","8756","53.3%","12685","51.8%","1.5pp"
"Lakeside Shack","","C","207600","6.47","37033","8.89","140487","62.7%","54.6%","26044","55.9%","35205","54.6%","61249","55.1%","79164","54.2%","1.0pp"
"Murky Sewer","","C","209932","6.68","33882","9.30","100278","49.7%","52.6%","18265","53.8%","25656","53.9%","43921","53.8%","56239","51.7%","2.2pp"
"Neglected Manor","","C","208591","6.54","30493","9.34","86269","47.5%","51.6%","15642","52.8%","21334","53.1%","36976","53.0%","49092","50.6%","2.4pp"
"Peculiar Lighthouse","","C","214954","7.09","37610","9.71","104484","46.1%","52.6%","18628","53.8%","26405","53.1%","45033","53.4%","59412","52.0%","1.4pp"
"Raucous Carnival","","C","210352","6.61","35021","9.26","122701","57.8%","54.8%","22397","55.5%","26839","52.5%","49236","53.8%","73442","55.4%","-1.5pp"
"Razortrap Gorge","","C","211507","6.78","34936","9.45","109009","52.0%","53.3%","19900","54.1%","25930","52.6%","45830","53.2%","63091","53.4%","-0.2pp"
"Strangled Cemetery","","C","205249","6.27","34279","8.74","130820","63.5%","53.9%","24050","54.4%","30781","53.3%","54831","53.8%","75838","54.0%","-0.2pp"
"Terramorphic Expanse","","C","328531","4.42","73455","6.15","423615","95.4%","54.7%","78346","56.4%","100056","54.0%","178402","55.1%","245015","54.5%","0.6pp"
"Thornspire Verge","","R","53799","4.23","9177","6.09","31611","57.1%","54.0%","5742","55.7%","7034","52.6%","12776","54.0%","18816","54.1%","-0.1pp"
"Valgavoth's Lair","","R","39458","3.14","9211","4.11","51600","94.6%","53.5%","9494","54.2%","12436","52.6%","21930","53.3%","29632","53.7%","-0.4pp"
"Hallowed Haunting","W","M","2046","2.33","646","2.41","2657","71.2%","51.3%","479","","669","53.5%","1148","52.4%","1513","50.6%","1.7pp"
"Soul Warden","W","M","3553","3.54","451","","1304","50.6%","52.3%","231","","296","","527","53.3%","772","51.7%","1.6pp"
"Expropriate","U","M","4860","4.78","672","6.93","975","24.4%","52.8%","151","","248","","399","","575","51.0%",""
"Phantasmal Image","U","M","2282","2.40","878","2.67","4447","87.0%","53.9%","742","53.2%","1208","59.2%","1950","56.9%","2490","51.5%","5.4pp"
"Damnation","B","M","1732","1.83","828","1.88","4210","84.4%","54.7%","711","55.7%","1057","62.0%","1768","59.4%","2421","51.2%","8.3pp"
"Sacrifice","B","M","5196","5.12","547","8.10","215","6.7%","","40","","50","","90","","125","",""
"Maddening Hex","R","M","3712","3.74","701","4.71","2096","50.9%","48.5%","334","","443","","777","47.7%","1320","48.9%","-1.2pp"
"Unholy Heat","R","M","2437","2.40","941","2.64","5113","89.5%","55.2%","855","56.3%","1175","59.6%","2030","58.2%","3077","53.2%","4.9pp"
"Collected Company","G","M","2654","2.71","643","3.10","2173","57.2%","52.7%","384","","507","54.8%","891","54.9%","1284","51.3%","3.6pp"
"Noxious Revival","G","M","4265","4.09","525","5.99","1080","35.6%","48.3%","154","","275","","429","","650","52.8%",""
